generation,ID,population,score,auto_long
0,47,row,1.265,[0 A 3 0 B 2 1 A 1 0 A 3 2]
0,39,row,1.245,[1 B 1 3 A 3 2 B 1 2 B 2 0]
0,73,column,1.845,[0 B 2 2 A 3 0 A 2 2 B 0 3]
0,71,row,1.435,[3 A 0 2 B 1 2 B 0 1 B 1 1]
0,63,row,1.185,[2 B 2 2 B 0 1 B 2 2 A 1 2]
0,43,column,1.785,[2 A 2 1 A 0 0 A 0 1 B 3 1]
0,42,column,1.25,[0 A 0 2 B 2 0 B 1 3 B 2 0]
0,0,row,1.535,[1 A 0 1 B 0 3 B 2 1 B 1 2]
0,9,column,1.765,[0 A 2 2 A 1 1 A 3 0 B 2 1]
0,14,column,1.8,[0 A 2 1 B 0 0 A 2 2 A 3 1]
0,2,row,1.11,[2 B 3 1 B 1 0 B 2 1 B 3 2]
0,69,column,1.83,[0 A 3 0 B 1 0 B 1 2 A 3 0]
0,6,column,0.96,[0 B 0 0 A 2 0 A 3 2 A 0 0]
0,40,column,1.89,[3 A 3 2 A 1 0 A 3 1 A 3 1]
0,3,row,1.48,[3 A 0 3 A 1 0 B 2 1 B 1 0]
0,16,row,1.17,[0 B 1 1 B 1 1 A 1 0 A 2 2]
0,34,column,1.755,[1 A 2 1 A 0 2 A 0 1 A 0 3]
0,75,row,1.125,[2 B 2 3 A 0 3 B 3 0 B 0 2]
0,30,column,1.74,[3 A 0 0 B 2 1 A 0 3 A 1 1]
0,66,row,1.18,[3 A 1 2 B 2 1 B 2 0 A 3 3]
0,60,row,1.27,[1 A 3 0 A 3 0 B 2 2 B 3 3]
0,44,row,1.285,[0 A 0 1 B 3 0 B 2 0 A 0 3]
0,54,column,1.375,[1 B 3 2 A 0 0 B 3 2 A 0 0]
0,74,column,1.74,[0 A 3 1 A 2 0 A 0 1 A 0 1]
0,78,row,1.11,[2 B 2 3 A 2 2 B 2 2 A 0 3]
0,8,row,1.105,[2 B 3 1 A 0 0 B 0 3 B 2 2]
0,21,column,1.4,[1 B 1 1 A 3 2 A 3 1 A 0 1]
0,38,column,1.69,[2 A 0 3 B 0 2 B 0 3 B 2 0]
0,27,row,1.325,[2 B 2 1 B 0 1 A 0 3 A 1 3]
